0.000 1.000868748509378e-09
1.000 7.4942467305986692e-10
2.000 5.6120393581047378e-10
3.000 4.222488632225352e-10
4.000 3.1924466251592355e-10
5.000 2.3920064254151623e-10
6.000 1.7906051645174534e-10
7.000 1.3208048450704224e-10
8.000 9.9674811473118264e-11
9.000 7.4859321016049375e-11
10.000 5.684799349003558e-11
11.000 4.5929604826337445e-11
12.000 4.3630998627272723e-11
13.000 6.5150620382122907e-11
14.000 1.0106312497254902e-10
15.000 1.631120745230769e-10
16.000 2.3718037762162164e-10
17.000 3.1320942600947366e-10
18.000 3.85228902955665e-10
19.000 4.4240766857553955e-10
20.000 4.8927478375798306e-10
21.000 5.2233277943529411e-10
22.000 5.492633126773455e-10
23.000 5.7531477625531919e-10
24.000 6.042606107515528e-10
25.000 6.5143649076534292e-10
27.500 7.5158502242265343e-10
30.000 9.8878673602272723e-10
32.500 1.2809184440860214e-09
35.000 1.5707156610429447e-09
37.500 1.6907305312715516e-09
40.000 1.7413508641141142e-09
42.500 1.7615337258921161e-09
45.000 1.7912652657954544e-09
47.500 1.8014637226666664e-09
50.000 1.8012255047318611e-09
55.000 1.8013537134951456e-09
60.000 1.8009911713235296e-09
65.000 1.8013419760503594e-09
70.000 1.8018400836268654e-09
75.000 1.8014250630666666e-09
80.000 1.8014468090916666e-09
85.000 1.8017490878794642e-09
90.000 1.801687216463415e-09
95.000 1.8161643176451612e-09
