0.000 7.7069525695049498e-12
1.000 1.060477916484375e-11
2.000 1.221106094284119e-11
3.000 1.1407964714999998e-11
4.000 9.8070941688311697e-12
5.000 8.0187993449168202e-12
6.000 6.4228975549367078e-12
7.000 5.4226577955690069e-12
8.000 4.7046441007242334e-12
9.000 4.4128719377371923e-12
10.000 4.3428495948132383e-12
11.000 4.653189516869565e-12
12.000 5.0139425610520985e-12
13.000 5.2236851519999995e-12
14.000 5.6031945673972589e-12
15.000 6.8652173530158728e-12
16.000 8.775238284444444e-12
17.000 1.2008471613793103e-11
18.000 1.631037865964912e-11
19.000 2.2617476145772594e-11
20.000 3.0724459681355928e-11
21.000 4.2935826699013794e-11
22.000 5.7629695982568808e-11
23.000 7.6564299513599995e-11
24.000 9.9345813351920687e-11
25.000 1.310729799244604e-10
27.500 1.8410051326053038e-10
30.000 2.4514761256716416e-10
32.500 2.9622184085106381e-10
35.000 3.2122292554311646e-10
37.500 3.0430850316101694e-10
40.000 2.4820811412941178e-10
42.500 1.6414351737903225e-10
45.000 9.7470258567032976e-11
47.500 4.9233907328358198e-11
50.000 2.5321450468085104e-11
55.000 1.5019753400372438e-11
60.000 1.05072521259375e-11
65.000 8.3458891124489801e-12
70.000 7.1142492701408461e-12
75.000 6.3342581004999998e-12
80.000 5.7850446351999997e-12
85.000 5.3760416926829263e-12
90.000 5.0541784139130427e-12
95.000 4.7500969036065583e-12
