0.000 2.4020287325567617e-09
1.000 1.0710421898743208e-09
2.000 4.0426299324501609e-10
3.000 2.2716154955224403e-10
4.000 1.4009752253712874e-10
5.000 1.0007981926482784e-10
6.000 7.4456077184775525e-11
7.000 6.0461542589969966e-11
8.000 5.01437699354223e-11
9.000 4.2232378705987223e-11
10.000 3.632638830272952e-11
11.000 3.4326807094339617e-11
12.000 3.3928441109374794e-11
13.000 3.5033278315231784e-11
14.000 3.6214207447389037e-11
15.000 3.6242135749773342e-11
16.000 3.5832612723995333e-11
17.000 3.5026806612062548e-11
18.000 3.4230273472537055e-11
19.000 3.3918010635574472e-11
20.000 3.4334605439569207e-11
21.000 3.6821593565583345e-11
22.000 4.0327381110501783e-11
23.000 4.504084100997105e-11
24.000 5.0637477411098531e-11
25.000 5.8243213787234042e-11
27.500 7.2160255058823513e-11
30.000 8.7364198588235304e-11
32.500 1.0107033708393632e-10
35.000 1.1112405790682836e-10
37.500 1.1310754244582043e-10
40.000 1.0308064285109227e-10
42.500 7.9560471842038213e-11
45.000 4.8228731769991008e-11
47.500 1.6306975815189872e-11
50.000 5.1051171254589967e-12
55.000 2.0016654381605353e-12
60.000 1.0508746427483871e-12
65.000 6.8636589402531643e-13
70.000 5.1416508615000005e-13
75.000 4.1624259750499996e-13
80.000 3.5330140571428567e-13
85.000 3.0933083139333336e-13
90.000 2.7641183385643559e-13
95.000 2.4938931681318681e-13
