0.000 4.4030182254689033e-14
1.000 4.4042479816878584e-14
2.000 4.4029947634340838e-14
3.000 4.4036287735161636e-14
4.000 4.4035591651793792e-14
5.000 4.4036410164916835e-14
6.000 4.4029662747265217e-14
7.000 4.4146781737523534e-14
8.000 4.4536433194571738e-14
9.000 4.5635138134858182e-14
10.000 4.6831151325062034e-14
11.000 4.8037218211901303e-14
12.000 4.943227831300802e-14
13.000 5.1934253284768201e-14
14.000 5.653969270490373e-14
15.000 6.7563171296464185e-14
16.000 8.2573560648923744e-14
17.000 1.0407373224125093e-13
18.000 1.3011911807323454e-13
19.000 1.6406241191489363e-13
20.000 2.1623546390905462e-13
21.000 3.4015153756371285e-13
22.000 5.0939425409925967e-13
23.000 7.5961024639433897e-13
24.000 1.1613391374858439e-12
25.000 2.181858519148936e-12
27.500 5.0036567999999999e-12
30.000 1.1709960352941179e-11
32.500 3.4023375243849496e-11
35.000 8.3571559412890877e-11
37.500 1.7024736311145511e-10
40.000 2.8518737069103877e-10
42.500 4.0637888066242037e-10
45.000 5.1139614564240791e-10
47.500 5.7926272298734173e-10
50.000 6.7546552769714984e-10
55.000 9.5369248102675585e-10
60.000 1.7613660271161291e-09
65.000 3.7426694322531639e-09
70.000 7.1923817899499988e-09
75.000 1.1207279279649999e-08
80.000 1.1309485215527952e-08
85.000 6.1061945347333323e-09
90.000 1.5127290957425743e-09
95.000 2.4141782260439562e-10
