0.000 3.0025359156959521e-10
1.000 2.7424804907015155e-10
2.000 2.3616847750610931e-10
3.000 1.9015669703819795e-10
4.000 1.4615111918996762e-10
5.000 1.1807097234143025e-10
6.000 9.7176396170217221e-11
7.000 8.3080659358439136e-11
8.000 7.2158781671668124e-11
9.000 6.5648875834884253e-11
10.000 6.0845770233250615e-11
11.000 5.7946435982583449e-11
12.000 5.6037965796264675e-11
13.000 5.5946000574834442e-11
14.000 5.6446776200869383e-11
15.000 5.7557840496826829e-11
16.000 5.7554152295620822e-11
17.000 5.3739352494415488e-11
18.000 4.7838546564952061e-11
19.000 3.9723295980255317e-11
20.000 3.1928056905065815e-11
21.000 2.6712893908814589e-11
22.000 2.2812669698382232e-11
23.000 2.0714070546156319e-11
24.000 1.9009752801812007e-11
25.000 1.7514326382978719e-11
27.500 1.5410561223529413e-11
30.000 1.3411632494117648e-11
32.500 1.2106611003617945e-11
35.000 1.1608611924696876e-11
37.500 1.2111688482972136e-11
40.000 1.361069006727597e-11
42.500 1.6513509699872611e-11
45.000 2.101657377448338e-11
47.500 2.771522103949367e-11
50.000 3.5632528115404797e-11
55.000 4.5931820783612047e-11
60.000 5.1538003534193557e-11
65.000 5.1140988182278475e-11
70.000 4.3216973138999997e-11
75.000 2.8321995345999996e-11
80.000 1.3309606398240166e-11
85.000 5.5654703800888886e-12
90.000 2.2442041338118812e-12
95.000 8.9383180043956053e-13
