0.000 1.5014432372359328e-07
1.000 1.4514273769478192e-07
2.000 1.4001059826752413e-07
3.000 1.3503435085222639e-07
4.000 1.3133422071587626e-07
5.000 1.3038749649064554e-07
6.000 1.2886907042379515e-07
7.000 1.2486534391812469e-07
8.000 1.1859194946166715e-07
9.000 1.0950313053033333e-07
10.000 9.9689829012406945e-08
11.000 8.9705261312046437e-08
12.000 7.8198434088423883e-08
13.000 6.3790753939072854e-08
14.000 5.0291057808593505e-08
15.000 3.9450366821396188e-08
16.000 3.0714574057045913e-08
17.000 2.4908115860014893e-08
18.000 1.9675600949433306e-08
19.000 1.5497587833191491e-08
20.000 1.3324492988831272e-08
21.000 1.2329027957914423e-08
22.000 1.2329647214148615e-08
23.000 1.3083067325828242e-08
24.000 1.4008929329558325e-08
25.000 1.5226477106382981e-08
27.500 1.7233085223529408e-08
30.000 2.0387903505882354e-08
32.500 2.4876837179450074e-08
35.000 3.1711489380344606e-08
37.500 4.4344407832817336e-08
40.000 6.4766716454302272e-08
42.500 1.0418885319745222e-07
45.000 1.5081436961365677e-07
47.500 2.1643804263797462e-07
50.000 3.1438256534708872e-07
55.000 4.8456336070234114e-07
60.000 7.1518478451612906e-07
65.000 1.0675355682531646e-06
70.000 1.5162364154999998e-06
75.000 2.1678964400999997e-06
80.000 3.0622655355797101e-06
85.000 4.5683671928666669e-06
90.000 6.8888632129702968e-06
95.000 1.0523012636263737e-05
